model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
pca_64,expanded-development,S062,2733,45,0.7777777777777778,0.7826086956521738,0.7685185185185185,0.5652173913043478,1.0,13,10,0,22
pca_64,expanded-development,S070,2733,45,0.4,0.4051383399209486,0.3688311688311688,0.6363636363636364,0.17391304347826086,14,8,19,4
pca_64,expanded-development,S072,2733,42,0.8571428571428571,0.8571428571428571,0.8558352402745995,0.7619047619047619,0.9523809523809523,16,5,1,20
logreg,expanded-development,S005,2738,45,0.5555555555555556,0.5267857142857143,0.4318181818181818,0.09523809523809523,0.9583333333333334,2,19,1,23
logreg,expanded-development,S011,2738,45,0.4222222222222222,0.4169960474308301,0.38550420168067223,0.6521739130434783,0.18181818181818182,15,8,18,4
logreg,expanded-development,S013,2738,20,0.55,0.55,0.4357366771159875,1.0,0.1,10,0,9,1
logreg,expanded-development,S018,2738,45,0.5777777777777777,0.5731225296442688,0.5558441558441558,0.36363636363636365,0.782608695652174,8,14,5,18
logreg,expanded-development,S022,2738,43,0.6976744186046512,0.6937229437229437,0.6868347338935574,0.5238095238095238,0.8636363636363636,11,10,3,19
logreg,expanded-development,S023,2738,43,0.6046511627906976,0.5847826086956521,0.557773744706594,0.3,0.8695652173913043,6,14,3,20
logreg,expanded-development,S028,2738,45,0.5111111111111111,0.5148221343873518,0.4989878542510121,0.6818181818181818,0.34782608695652173,15,7,15,8
logreg,expanded-development,S033,2738,45,0.6222222222222222,0.6136363636363636,0.5502645502645502,1.0,0.22727272727272727,23,0,17,5
logreg,expanded-development,S034,2738,42,0.7142857142857143,0.7142857142857142,0.6971153846153846,0.47619047619047616,0.9523809523809523,10,11,1,20
logreg,expanded-development,S040,2738,45,0.5333333333333333,0.5089285714285714,0.4444444444444444,0.14285714285714285,0.875,3,18,3,21
logreg,expanded-development,S041,2738,42,0.7142857142857143,0.7142857142857142,0.7136363636363636,0.7619047619047619,0.6666666666666666,16,5,7,14
logreg,expanded-development,S043,2738,45,0.6,0.591897233201581,0.533410138248848,0.9565217391304348,0.22727272727272727,22,1,17,5
logreg,expanded-development,S044,2738,39,0.6153846153846154,0.618421052631579,0.6112956810631229,0.7368421052631579,0.5,14,5,10,10
logreg,expanded-development,S053,2738,45,0.5777777777777777,0.5869565217391304,0.4973544973544973,1.0,0.17391304347826086,22,0,19,4
logreg,expanded-development,S065,2738,45,0.7333333333333333,0.7351190476190477,0.733201581027668,0.7083333333333334,0.7619047619047619,17,7,5,16
logreg,expanded-development,S071,2738,45,0.7111111111111111,0.7154150197628458,0.7016828148903621,0.9090909090909091,0.5217391304347826,20,2,11,12
lda,expanded-development,S005,2738,45,0.5333333333333333,0.5059523809523809,0.4184615384615385,0.09523809523809523,0.9166666666666666,2,19,2,22
lda,expanded-development,S011,2738,45,0.4444444444444444,0.43873517786561267,0.4019138755980861,0.6956521739130435,0.18181818181818182,16,7,18,4
lda,expanded-development,S013,2738,20,0.55,0.55,0.4357366771159875,1.0,0.1,10,0,9,1
lda,expanded-development,S018,2738,45,0.6,0.5958498023715415,0.5833333333333333,0.4090909090909091,0.782608695652174,9,13,5,18
lda,expanded-development,S022,2738,43,0.7209302325581395,0.7175324675324675,0.7133333333333334,0.5714285714285714,0.8636363636363636,12,9,3,19
lda,expanded-development,S023,2738,43,0.627906976744186,0.6097826086956522,0.5904761904761905,0.35,0.8695652173913043,7,13,3,20
lda,expanded-development,S028,2738,45,0.5111111111111111,0.5148221343873518,0.4989878542510121,0.6818181818181818,0.34782608695652173,15,7,15,8
lda,expanded-development,S033,2738,45,0.6222222222222222,0.6136363636363636,0.5502645502645502,1.0,0.22727272727272727,23,0,17,5
lda,expanded-development,S034,2738,42,0.6904761904761905,0.6904761904761905,0.6676810712111991,0.42857142857142855,0.9523809523809523,9,12,1,20
lda,expanded-development,S040,2738,45,0.5333333333333333,0.5089285714285714,0.4444444444444444,0.14285714285714285,0.875,3,18,3,21
lda,expanded-development,S041,2738,42,0.7380952380952381,0.7380952380952381,0.7367521367521368,0.8095238095238095,0.6666666666666666,17,4,7,14
lda,expanded-development,S043,2738,45,0.6,0.591897233201581,0.533410138248848,0.9565217391304348,0.22727272727272727,22,1,17,5
lda,expanded-development,S044,2738,39,0.6153846153846154,0.618421052631579,0.6112956810631229,0.7368421052631579,0.5,14,5,10,10
lda,expanded-development,S053,2738,45,0.5777777777777777,0.5869565217391304,0.4973544973544973,1.0,0.17391304347826086,22,0,19,4
lda,expanded-development,S065,2738,45,0.7333333333333333,0.7351190476190477,0.733201581027668,0.7083333333333334,0.7619047619047619,17,7,5,16
lda,expanded-development,S071,2738,45,0.7111111111111111,0.7154150197628458,0.7016828148903621,0.9090909090909091,0.5217391304347826,20,2,11,12
pca_8,expanded-development,S005,2738,45,0.5111111111111111,0.49702380952380953,0.48004201680672265,0.2857142857142857,0.7083333333333334,6,15,7,17
pca_8,expanded-development,S011,2738,45,0.5333333333333333,0.5375494071146245,0.5181030086690463,0.34782608695652173,0.7272727272727273,8,15,6,16
pca_8,expanded-development,S013,2738,20,0.55,0.55,0.4357366771159875,0.1,1.0,1,9,0,10
pca_8,expanded-development,S018,2738,45,0.4444444444444444,0.4486166007905138,0.4263131055583886,0.6363636363636364,0.2608695652173913,14,8,17,6
pca_8,expanded-development,S022,2738,43,0.5116279069767442,0.5043290043290043,0.4537205081669691,0.19047619047619047,0.8181818181818182,4,17,4,18
pca_8,expanded-development,S023,2738,43,0.5581395348837209,0.5380434782608696,0.5057471264367817,0.25,0.8260869565217391,5,15,4,19
pca_8,expanded-development,S028,2738,45,0.4222222222222222,0.4308300395256917,0.326036866359447,0.8181818181818182,0.043478260869565216,18,4,22,1
pca_8,expanded-development,S033,2738,45,0.7111111111111111,0.7114624505928854,0.7111111111111111,0.6956521739130435,0.7272727272727273,16,7,6,16
pca_8,expanded-development,S034,2738,42,0.5476190476190477,0.5476190476190477,0.5143031040779062,0.2857142857142857,0.8095238095238095,6,15,4,17
pca_8,expanded-development,S040,2738,45,0.5777777777777777,0.5565476190476191,0.5166760881854155,0.23809523809523808,0.875,5,16,3,21
pca_8,expanded-development,S041,2738,42,0.5,0.5,0.47593582887700536,0.2857142857142857,0.7142857142857143,6,15,6,15
pca_8,expanded-development,S043,2738,45,0.5777777777777777,0.5800395256916996,0.5744151319064211,0.4782608695652174,0.6818181818181818,11,12,7,15
pca_8,expanded-development,S044,2738,39,0.6153846153846154,0.6078947368421053,0.5751633986928104,0.3157894736842105,0.9,6,13,2,18
pca_8,expanded-development,S053,2738,45,0.5333333333333333,0.5227272727272727,0.3867618429591174,0.045454545454545456,1.0,1,21,0,23
pca_8,expanded-development,S065,2738,45,0.5111111111111111,0.5297619047619048,0.48004201680672265,0.25,0.8095238095238095,6,18,4,17
pca_8,expanded-development,S071,2738,45,0.5777777777777777,0.5849802371541502,0.5325314379442319,0.9090909090909091,0.2608695652173913,20,2,17,6
pca_16,expanded-development,S005,2738,45,0.5111111111111111,0.5327380952380952,0.4665948275862069,0.8571428571428571,0.20833333333333334,18,3,19,5
pca_16,expanded-development,S011,2738,45,0.5111111111111111,0.5207509881422925,0.4050480769230769,0.08695652173913043,0.9545454545454546,2,21,1,21
pca_16,expanded-development,S013,2738,20,0.7,0.7,0.696969696969697,0.8,0.6,8,2,4,6
pca_16,expanded-development,S018,2738,45,0.4222222222222222,0.4199604743083004,0.415,0.3181818181818182,0.5217391304347826,7,15,11,12
pca_16,expanded-development,S022,2738,43,0.5116279069767442,0.512987012987013,0.5105691056910568,0.5714285714285714,0.45454545454545453,12,9,12,10
pca_16,expanded-development,S023,2738,43,0.6511627906976745,0.6315217391304347,0.6098003629764065,0.35,0.9130434782608695,7,13,2,21
pca_16,expanded-development,S028,2738,45,0.4666666666666667,0.46640316205533594,0.46640316205533594,0.45454545454545453,0.4782608695652174,10,12,12,11
pca_16,expanded-development,S033,2738,45,0.6666666666666666,0.6590909090909091,0.6184284906726965,1.0,0.3181818181818182,23,0,15,7
